ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
214,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",won,572395,(+ 128368),ISHA KHAN CHOUDHURY,Indian National Congress
215,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",lost,444027,( -128368),SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party
216,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",lost,301026,( -271369),SHAHNAWAZ ALI RAIHAN,All India Trinamool Congress
217,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",lost,8383,( -564012),PURNOCHANDRA MANDAL,Independent
218,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",lost,5736,( -566659),AHMED HEDATUL HASAN,Independent
219,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",lost,5386,( -567009),MD. JAMAL SAIKH,Independent
220,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",lost,5065,( -567330),BIKASH RABIDAS,Bahujan Samaj Party
221,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",lost,4776,( -567619),BIJOY KUMAR SARKAR,Independent
222,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",lost,3535,( -568860),SUSMITA DEY KARJEE,Bhartiya Lokmat Rashtrwadi Party
223,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",lost,3271,( -569124),AMAL KUMAR RABIDAS,Independent
224,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",lost,3140,( -569255),KAVIR MADAN DAS,Ambedkarite Party of India
225,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",lost,2788,( -569607),ASIM MANDAL,Jan Sangh Party
226,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",lost,2323,( -570072),MD SHAHNAWAJ RAHMATULLAH,Social Democratic Party Of India
227,West Bengal,Maldaha Dakshin(8),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ISHAK-2024-4597.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SREER-2024-5638.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SHAHN-2024-4918.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/PURNO-2024-6735.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AHMED-2024-6752.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDJA-2024-6734.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIKAS-2024-4912.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/BIJOY-2024-6711.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/SUSMI-2024-6730.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/AMALK-2024-4611.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/KAVIR-2024-6732.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ASIMM-2024-6719.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDSHA-2024-5630.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/JALAL-2024-6715.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/ANGSH-2024-4607.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDNUR-2024-4933.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S25/MDMON-2024-4906.jpg', 'img/nota.jpg']",lost,2075,( -570320),JALALUDDIN SARKAR,Bharatiya Nyay-Adhikar Raksha Party
