ref,state,constituency,image_link,won status,votes,(votes),Name,Party Name
3338,Jammu and Kashmir,BARAMULLA(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ABDUL-2024-9272.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/OMARA-2024-9748.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SAJAD-2024-9605.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MIRMO-2024-9788.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SURAI-2024-10487.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FIRDO-2024-10523.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHAFE-2024-10176.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/PEERZ-2024-9629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/KHURS-2024-9844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MOHAM-2024-10394.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHADI-2024-10408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUDAS-2024-9259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/NAZIR-2024-9645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHABI-2024-10530.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/HILAL-2024-9405.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MEHRA-2024-9810.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SYEDA-2024-10378.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FAROO-2024-9924.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ARUNK-2024-10535.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUNIR-2024-10445.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUZAF-2024-9397.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUSHT-2024-9656.jpg', 'img/nota.jpg']",won,472481,(+ 204142),ABDUL RASHID SHEIKH,Independent
3339,Jammu and Kashmir,BARAMULLA(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ABDUL-2024-9272.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/OMARA-2024-9748.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SAJAD-2024-9605.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MIRMO-2024-9788.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SURAI-2024-10487.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FIRDO-2024-10523.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHAFE-2024-10176.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/PEERZ-2024-9629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/KHURS-2024-9844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MOHAM-2024-10394.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHADI-2024-10408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUDAS-2024-9259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/NAZIR-2024-9645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHABI-2024-10530.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/HILAL-2024-9405.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MEHRA-2024-9810.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SYEDA-2024-10378.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FAROO-2024-9924.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ARUNK-2024-10535.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUNIR-2024-10445.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUZAF-2024-9397.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUSHT-2024-9656.jpg', 'img/nota.jpg']",lost,268339,( -204142),OMAR ABDULLAH,Jammu & Kashmir National Conference
3340,Jammu and Kashmir,BARAMULLA(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ABDUL-2024-9272.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/OMARA-2024-9748.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SAJAD-2024-9605.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MIRMO-2024-9788.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SURAI-2024-10487.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FIRDO-2024-10523.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHAFE-2024-10176.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/PEERZ-2024-9629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/KHURS-2024-9844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MOHAM-2024-10394.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHADI-2024-10408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUDAS-2024-9259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/NAZIR-2024-9645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHABI-2024-10530.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/HILAL-2024-9405.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MEHRA-2024-9810.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SYEDA-2024-10378.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FAROO-2024-9924.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ARUNK-2024-10535.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUNIR-2024-10445.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUZAF-2024-9397.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUSHT-2024-9656.jpg', 'img/nota.jpg']",lost,173239,( -299242),SAJAD GANI LONE,Jammu & Kashmir People Conference
3341,Jammu and Kashmir,BARAMULLA(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ABDUL-2024-9272.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/OMARA-2024-9748.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SAJAD-2024-9605.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MIRMO-2024-9788.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SURAI-2024-10487.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FIRDO-2024-10523.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHAFE-2024-10176.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/PEERZ-2024-9629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/KHURS-2024-9844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MOHAM-2024-10394.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHADI-2024-10408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUDAS-2024-9259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/NAZIR-2024-9645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHABI-2024-10530.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/HILAL-2024-9405.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MEHRA-2024-9810.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SYEDA-2024-10378.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FAROO-2024-9924.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ARUNK-2024-10535.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUNIR-2024-10445.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUZAF-2024-9397.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUSHT-2024-9656.jpg', 'img/nota.jpg']",lost,27488,( -444993),MIR MOHAMMAD FAYAZ,Jammu & Kashmir Peoples Democratic Party
3342,Jammu and Kashmir,BARAMULLA(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ABDUL-2024-9272.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/OMARA-2024-9748.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SAJAD-2024-9605.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MIRMO-2024-9788.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SURAI-2024-10487.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FIRDO-2024-10523.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHAFE-2024-10176.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/PEERZ-2024-9629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/KHURS-2024-9844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MOHAM-2024-10394.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHADI-2024-10408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUDAS-2024-9259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/NAZIR-2024-9645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHABI-2024-10530.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/HILAL-2024-9405.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MEHRA-2024-9810.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SYEDA-2024-10378.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FAROO-2024-9924.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ARUNK-2024-10535.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUNIR-2024-10445.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUZAF-2024-9397.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUSHT-2024-9656.jpg', 'img/nota.jpg']",lost,21618,( -450863),SURAIYA NISSAR,Independent
3343,Jammu and Kashmir,BARAMULLA(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ABDUL-2024-9272.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/OMARA-2024-9748.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SAJAD-2024-9605.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MIRMO-2024-9788.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SURAI-2024-10487.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FIRDO-2024-10523.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHAFE-2024-10176.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/PEERZ-2024-9629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/KHURS-2024-9844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MOHAM-2024-10394.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHADI-2024-10408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUDAS-2024-9259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/NAZIR-2024-9645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHABI-2024-10530.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/HILAL-2024-9405.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MEHRA-2024-9810.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SYEDA-2024-10378.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FAROO-2024-9924.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ARUNK-2024-10535.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUNIR-2024-10445.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUZAF-2024-9397.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUSHT-2024-9656.jpg', 'img/nota.jpg']",lost,15722,( -456759),FIRDOUS AHMAD BHAT,Independent
3344,Jammu and Kashmir,BARAMULLA(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ABDUL-2024-9272.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/OMARA-2024-9748.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SAJAD-2024-9605.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MIRMO-2024-9788.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SURAI-2024-10487.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FIRDO-2024-10523.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHAFE-2024-10176.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/PEERZ-2024-9629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/KHURS-2024-9844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MOHAM-2024-10394.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHADI-2024-10408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUDAS-2024-9259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/NAZIR-2024-9645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHABI-2024-10530.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/HILAL-2024-9405.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MEHRA-2024-9810.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SYEDA-2024-10378.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FAROO-2024-9924.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ARUNK-2024-10535.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUNIR-2024-10445.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUZAF-2024-9397.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUSHT-2024-9656.jpg', 'img/nota.jpg']",lost,6214,( -466267),SHAFEEQA BEGUM,Independent
3345,Jammu and Kashmir,BARAMULLA(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ABDUL-2024-9272.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/OMARA-2024-9748.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SAJAD-2024-9605.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MIRMO-2024-9788.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SURAI-2024-10487.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FIRDO-2024-10523.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHAFE-2024-10176.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/PEERZ-2024-9629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/KHURS-2024-9844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MOHAM-2024-10394.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHADI-2024-10408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUDAS-2024-9259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/NAZIR-2024-9645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHABI-2024-10530.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/HILAL-2024-9405.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MEHRA-2024-9810.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SYEDA-2024-10378.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FAROO-2024-9924.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ARUNK-2024-10535.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUNIR-2024-10445.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUZAF-2024-9397.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUSHT-2024-9656.jpg', 'img/nota.jpg']",lost,5566,( -466915),PEERZADA MUDASIR RASHID SHAH,Jammu & Kashmir National Panthers Party (Bhim)
3346,Jammu and Kashmir,BARAMULLA(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ABDUL-2024-9272.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/OMARA-2024-9748.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SAJAD-2024-9605.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MIRMO-2024-9788.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SURAI-2024-10487.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FIRDO-2024-10523.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHAFE-2024-10176.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/PEERZ-2024-9629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/KHURS-2024-9844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MOHAM-2024-10394.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHADI-2024-10408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUDAS-2024-9259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/NAZIR-2024-9645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHABI-2024-10530.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/HILAL-2024-9405.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MEHRA-2024-9810.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SYEDA-2024-10378.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FAROO-2024-9924.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ARUNK-2024-10535.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUNIR-2024-10445.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUZAF-2024-9397.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUSHT-2024-9656.jpg', 'img/nota.jpg']",lost,4268,( -468213),KHURSHEED AHMAD SHAH,Rashtriya Jankranti Party
3347,Jammu and Kashmir,BARAMULLA(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ABDUL-2024-9272.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/OMARA-2024-9748.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SAJAD-2024-9605.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MIRMO-2024-9788.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SURAI-2024-10487.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FIRDO-2024-10523.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHAFE-2024-10176.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/PEERZ-2024-9629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/KHURS-2024-9844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MOHAM-2024-10394.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHADI-2024-10408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUDAS-2024-9259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/NAZIR-2024-9645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHABI-2024-10530.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/HILAL-2024-9405.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MEHRA-2024-9810.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SYEDA-2024-10378.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FAROO-2024-9924.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ARUNK-2024-10535.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUNIR-2024-10445.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUZAF-2024-9397.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUSHT-2024-9656.jpg', 'img/nota.jpg']",lost,4063,( -468418),MOHAMMAD SULTAN GANAIE,Independent
3348,Jammu and Kashmir,BARAMULLA(1),"['https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ABDUL-2024-9272.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/OMARA-2024-9748.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SAJAD-2024-9605.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MIRMO-2024-9788.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SURAI-2024-10487.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FIRDO-2024-10523.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHAFE-2024-10176.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/PEERZ-2024-9629.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/KHURS-2024-9844.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MOHAM-2024-10394.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHADI-2024-10408.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUDAS-2024-9259.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/NAZIR-2024-9645.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHABI-2024-10530.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/HILAL-2024-9405.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MEHRA-2024-9810.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SYEDA-2024-10378.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FAROO-2024-9924.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ARUNK-2024-10535.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUNIR-2024-10445.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUZAF-2024-9397.jpg', 'https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUSHT-2024-9656.jpg', 'img/nota.jpg']",lost,3670,( -468811),SHADIB HANIEF KHAN,Independent
